Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jite
Azure Cytoserocin,49720.66,-49.7%,0,40025.32,75562.70,45000.00,49720.66
Celadon Cytoserocin,95719.21,-37.3%,0,59582.02,74532.57,0.00,95719.21
Golden Cytoserocin,94742.10,+100.0%,0,0.00,0.00,0.00,94742.10
Lime Cytoserocin,38483.71,-100.0%,4905,27215.68,48261.76,2000.00,42885.32
Malachite Cytoserocin,71125.04,+40.6%,0,93924.17,0.00,0.00,71125.04
Vermillion Cytoserocin,50751.65,-85.2%,4552,60613.19,38905.12,0.00,78706.73
Viridian Cytoserocin,76420.53,-34.6%,0,40449.59,50000.00,0.00,76420.53
,,,,,,,
Tech 2 Production,,,,,,,
Construction Blocks,510.12,+3.6%,2282172,509.43,516.39,566.70,524.13
Electronic Parts,792.63,+0.1%,5945190,794.20,796.02,710.22,806.58
Guidance System,743.41,-0.5%,36192,735.04,796.05,180.52,415.20
Hydrogen Batteries,607.28,+64.7%,621889,990.42,586.49,590.00,506.08
Miniature Electronics,461.79,+48.3%,220747,787.53,400.91,79.43,421.91
Rocket Fuel,649.57,-0.1%,174787,649.00,649.67,507.15,597.64
Super Conductors,7296.31,-17.8%,50360,7732.34,6059.49,1054.28,1953.17
Transmitter,873.00,-14.1%,15999,876.60,767.46,69.20,390.00
