Typename,Index,Change to Last Day,Movement,Heimatar,Metropolis,Molden Heath,Jita
PPD Fullerene Fibers,7437.63,-5.9%,22887,7320.51,8032.21,0.00,10185.78
Scandium Metallofullerene,36608.11,+35.2%,5049,36608.11,44997.30,0.00,40219.42
,,,,,,,
Booster Gases,,,,,,,
Amber Mykoserocin,1169.90,+53.9%,0,1515.95,1033.51,0.00,1169.90
Azure Mykoserocin,310.35,+1511.1%,3590,1522.13,3826.58,8.99,5785.22
Celadon Mykoserocin,5704.96,-82.5%,0,300.00,8788.94,0.00,5704.96
Golden Mykoserocin,3300.23,+51.5%,0,1999.27,2937.59,0.00,3300.23
Lime Mykoserocin,1951.33,+2.5%,8311,1951.33,8530.31,1.00,3839.84
Malachite Mykoserocin,5300.36,-100.0%,0,0.00,0.00,0.00,5300.36
Vermillion Mykoserocin,3349.66,-34.3%,6600,3349.66,10248.24,7732.16,7950.82
Viridian Mykoserocin,11489.76,-86.1%,0,9919.56,20000.00,0.00,11489.76
Amber Cytoserocin,48733.70,-69.2%,0,60507.25,66304.89,11.13,48733.70
Azure Cytoserocin,44981.85,+44.5%,1543,41099.13,41282.93,45000.00,45893.56
Celadon Cytoserocin,92615.28,-35.2%,0,62018.70,74532.57,0.00,92615.28
Golden Cytoserocin,107827.81,-100.0%,0,0.00,0.00,0.00,107827.81
Lime Cytoserocin,61908.05,-3.1%,0,30727.16,46640.34,2000.00,61908.05
Malachite Cytoserocin,83284.37,+20.1%,0,93924.17,0.00,0.00,83284.37
Vermillion Cytoserocin,74851.86,+6.9%,2753,74851.86,26433.46,0.00,98333.06
Viridian Cytoserocin,106860.61,-53.2%,0,40449.59,50000.00,0.00,106860.61
,,,,,,,
Planetary Raw Materials (R0),,,,,,,
Aqueous Liquids,1.56,+8.5%,36116220,1.56,1.51,5.21,1.54
Autotrophs,10.24,-2.4%,36260626,10.30,22.39,48.89,11.71
Base Metals,2.63,-2.9%,74198069,2.70,1.86,1.83,2.50
Carbon Compounds,2.60,-19.2%,61714022,2.76,1.25,1.16,2.06
Complex Organisms,3.33,+1.5%,4882812,3.30,3.41,5.00,7.50
Felsic Magma,7.12,-43.8%,3258376,8.43,3.44,3.00,5.19
